Date,Index,VaR95_exc,VaR99_exc,Severity95
2002-10-28,IBEX,0,0,
2002-10-29,IBEX,0,0,
2002-10-30,IBEX,0,0,
2002-10-31,IBEX,0,0,
2002-11-01,IBEX,0,0,
2002-11-04,IBEX,0,0,
2002-11-05,IBEX,0,0,
2002-11-06,IBEX,0,0,
2002-11-07,IBEX,1,0,-0.7177470467592828
2002-11-08,IBEX,0,0,
2002-11-11,IBEX,0,0,
2002-11-12,IBEX,0,0,
2002-11-13,IBEX,0,0,
2002-11-14,IBEX,0,0,
2002-11-15,IBEX,0,0,
2002-11-18,IBEX,0,0,
2002-11-19,IBEX,0,0,
2002-11-20,IBEX,0,0,
2002-11-21,IBEX,0,0,
2002-11-22,IBEX,0,0,
2002-11-25,IBEX,0,0,
2002-11-26,IBEX,0,0,
2002-11-27,IBEX,0,0,
2002-11-28,IBEX,0,0,
2002-11-29,IBEX,0,0,
2002-12-02,IBEX,0,0,
2002-12-03,IBEX,0,0,
2002-12-04,IBEX,0,0,
2002-12-05,IBEX,0,0,
2002-12-06,IBEX,0,0,
2002-12-09,IBEX,0,0,
2002-12-10,IBEX,0,0,
2002-12-11,IBEX,0,0,
2002-12-12,IBEX,0,0,
2002-12-13,IBEX,0,0,
2002-12-16,IBEX,0,0,
2002-12-17,IBEX,0,0,
2002-12-18,IBEX,0,0,
2002-12-19,IBEX,0,0,
2002-12-20,IBEX,0,0,
2002-12-23,IBEX,0,0,
2002-12-24,IBEX,0,0,
